room_id,score
569485,0
1670942,0
1341799,0
454623,0
2303297,0
1933940,0
4453794,0
2249106,0
5871129,0
893318,0
5603237,0
1878513,0
1078299,0
1241991,0
1263789,0
5120982,0
739849,0
1508367,0
5658645,0
4836491,0
1215764,0
1022110,0
1439886,0
2036396,0
1361567,0
2726788,0
638613,0
1106155,0
1381278,0
2661283,0
5353659,0
490786,0
5556657,0
3819023,0
2191731,0
1372870,0
3697291,0
5029857,0
522077,0
1557958,0
686939,0
1066350,0
5159455,0
1087578,0
731333,0
500964,0
2783907,0
5170311,0
2174615,0
3480008,0
746170,0
680249,0
1861664,0
5655624,0
438215,0
3541241,0
4306378,0
1843253,0
858779,0
5588350,0
605596,0
608250,0
3126575,0
2803424,0
5690463,0
3149631,0
1663533,0
5232868,0
1284122,0
3966623,0
5346378,0
2276326,0
2492407,0
1081919,0
2254198,0
943349,0
1373825,0
5056650,0
2004344,0
1278568,0
625747,0
3952019,0
3230358,0
3947203,0
3923233,0
3451013,0
3843182,0
2630348,0
912544,0
1213162,0
4078528,0
825268,0
5059882,0
3600650,0
1255265,0
1576106,0
1978792,0
4571943,0
1189859,0
5030042,0
3860119,0
1941353,0
1761605,0
636436,0
2897388,0
3986001,0
3755644,0
4456435,3767
4873619,0
4474092,0
1103194,0
2714229,0
5885779,0
1688918,0
248674,0
1552809,0
1265512,0
4557727,0
1749493,0
644979,0
795654,0
1480785,0
833845,0
973145,0
1196399,0
3860318,0
547172,0
1006301,0
1136944,0
2884568,0
1942962,0
666479,0
3698467,0
3321096,0
1757322,0
648300,0
510108,0
3192897,0
5443822,0
5302976,7555
704772,0
2256383,0
1981306,0
2629472,0
5220564,0
2663533,0
1039763,0
1647673,29281
2068251,0
1077783,0
729646,0
2223201,0
1672676,0
4683402,0
3635380,0
1175168,0
4092519,0
1754443,0
2893493,0
3603980,0
3159887,0
3904006,0
5086938,0
2954478,0
1611007,0
962115,0
5827086,0
3590089,0
1673065,0
3430493,0
5266815,0
690765,0
4373170,0
634611,0
4058105,0
1325332,0
4216366,0
5088974,0
566242,0
817337,0
1339273,0
1010055,0
1186363,0
1865064,0
3729069,0
950061,0
5373750,0
1692953,0
1575634,0
1260486,0
5226822,0
4741274,0
645648,0
1388857,0
1282270,0
5149142,0
2394883,0
1813675,0
972360,0
2000407,0
2965331,0
960317,0
2227522,0
3866387,0
1085949,0
221951,0
3870937,0
4533306,0
853197,0
3949611,0
4467100,0
2639751,0
981193,0
1138677,0
3716216,0
621408,0
1420977,0
1184978,0
2028377,0
2072305,0
4008858,0
960870,0
594397,0
729608,0
1014249,0
885743,0
5241675,0
667409,0
5856533,0
667964,0
2523511,0
688684,0
5161646,0
116872,0
3832303,0
1619273,0
1811973,0
809169,0
1360583,0
5174137,0
5684881,0
1428696,0
2162649,0
1742875,0
3080922,0
448476,0
622412,0
1419200,0
4638161,0
611730,0
3684900,0
1615172,0
282210,0
1437350,0
1514045,0
1349168,0
50574,0
3155438,0
5418713,0
1054968,0
3445229,0
3127744,0
3443812,0
497025,0
2339503,0
621971,0
1432057,0
4926541,0
765679,0
840753,0
1118014,0
4493370,0
2162207,0
2162876,0
4727816,0
1525091,0
2296492,0
5668075,0
5023370,0
